0	0	0	0	0	0	0.009481	
0	0	0	0	0	0	0.008209	
0	0	0	0	0	0	0.007105	
0	0	0	0	0	0	0.007623	
0	0	0	0	0	0	0.006999	
0	0	0	0	0	0	0.007558	
0	0	0	0	0	0	0.009633	
0	0	0	0	0	0	0.012839	
0	0	0	0	0	0	0.008415	
0	0	0	0	0	0	0.007745	
0	0	0	0	0	0	0.008848	
0	0	0	0	0	0	0.007628	
0	0	0	0	0	0	0.00766	
0	0	0	0	0	0	0.00867	
0	0	0	0	0	0	0.007725	
0	0	0	0	0	0	0.007525	
0	0	0	0	0	0	0.008436	
0	0	0	0	0	0	0.007049	
0	0	0	0	0	0	0.009432	
0	0	0	0	0	0	0.007524	
0	0	0	0	0	0	0.006757	
0	0	0	0	0	0	0.00731	
0	0	0	0	0	0	0.007007	
0	0	0	0	0	0	0.006685	
0	0	0	0	0	0	0.006635	
0	0	0	0	0	0	0.006547	
0	0	0	0	0	0	0.006619	
0	0	0	0	0	0	0.006297	
0	0	0	0	0	0	0.006257	
0	0	0	0	0	0	0.007133	
0	0	0	0	0	0	0.006157	
0	0	0	0	0	0	0.006294	
0	0	0	0	0	0	0.008097	
0	0	0	0	0	0	0.00621	
0	0	0	0	0	0	0.006027	
0	0	0	0	0	0	0.006171	
0	0	0	0	0	0	0.006431	
0	0	0	0	0	0	0.00638	
0	0	0	0	0	0	0.006076	
0	0	0	0	0	0	0.006564	
0	0	0	0	0	0	0.005639	
0	0	0	0	0	0	0.005967	
0	0	0	0	0	0	0.006849	
0	0	0	0	0	0	0.007369	
0	0	0	0	0	0	0.006867	
0	0	0	0	0	0	0.006451	
0	0	0	0	0	0	0.006683	
0	0	0	0	0	0	0.006784	
0	0	0	0	0	0	0.00631	
0	0	0	0	0	1500	137.51	
0	3	0	0	9	2926	273.703	
0	4	1	1	11	2925	251.875	
0	6	3	1	10	3020	241.056	
1	7	4	1	11	3053	250.097	
2	8	5	1	12	3127	262.874	
3	9	6	1	9	3158	250.724	
4	10	7	1	13	3209	258.081	
5	11	8	1	13	3289	248.981	
5	11	8	1	13	3369	256.769	
6	12	9	1	14	3443	247.246	
7	13	10	1	9	3484	261.68	
2	8	5	1	11	3514	254.09	
3	8	6	1	11	3552	237.894	
5	10	8	1	11	3568	248.554	
4	10	7	1	11	3605	250.342	
5	11	8	1	13	3655	252.379	
5	11	8	1	12	3722	252.725	
5	11	8	1	10	3781	245.002	
3	9	6	1	11	3809	252.408	
17	23	20	0	11	3839	252.474	
18	24	21	1	30	3861	243.914	
18	24	21	1	25	3883	255.051	
20	26	23	1	11	3904	257.604	
21	27	24	1	12	3909	263.462	
22	28	25	1	13	3885	247.278	
23	29	26	1	12	3903	247.872	
24	30	27	1	11	4032	244.525	
25	31	28	1	12	4181	239.058	
25	31	28	1	12	4326	245.558	
24	30	27	1	10	4421	259.234	
27	33	30	1	11	4504	249.039	
23	27	26	1	10	4641	249.835	
21	27	24	1	11	4730	244.653	
23	29	26	1	14	4737	238.303	
26	30	29	1	11	4784	245.832	
25	31	28	1	11	4834	250.064	
23	29	26	1	11	4884	249.462	
22	28	25	1	15	4933	252.011	
24	30	27	1	10	4958	250.943	
27	33	30	1	11	4984	261.924	
22	28	25	1	11	5004	255.122	
22	28	25	1	10	5029	243.181	
23	27	24	1	11	5042	246.685	
19	25	22	1	9	5017	238.859	
25	27	26	1	9	5015	246.158	
20	26	23	1	13	5067	250.985	
25	31	28	1	12	5115	253.811	
21	27	24	1	12	5160	263.571	
23	29	26	1	12	5232	251.179	
24	30	27	1	11	5308	248.72	
18	24	21	1	15	5347	260.189	
17	23	20	1	13	5343	257.036	
50	56	53	0	9	5387	255.035	
51	57	54	1	12	5584	260.582	
51	57	54	1	9	5722	259.27	
53	59	56	1	9	5681	261.668	
53	59	56	1	10	5696	261.354	
54	60	57	1	10	5832	255.029	
55	61	58	1	11	5969	260.891	
56	62	59	1	12	6087	260.448	
53	59	56	1	12	6192	259.57	
58	64	61	1	9	6237	279.979	
60	66	63	1	13	6355	277.913	
61	67	64	1	12	6405	277.39	
60	61	61	1	12	6415	312.852	
62	68	65	0	9	6397	267.121	
63	69	66	1	10	6475	271.252	
64	70	67	1	11	6588	280.551	
65	71	68	1	11	6680	298.405	
67	73	70	1	13	6759	286.278	
68	74	71	1	10	6797	289.377	
67	73	70	1	10	6856	277.375	
69	75	72	1	13	6858	281.211	
71	77	74	1	9	6917	277.143	
69	71	71	1	10	7098	270.962	
66	72	69	1	10	7230	276.633	
73	79	76	0	10	7501	291.783	
74	80	77	1	9	7811	279.03	
71	74	74	1	9	8119	281.29	
72	75	75	1	8	8364	286.836	
