0.00000 0.00000 0.00000
1.00000 0.00000 0.00000
2.00000 0.00000 0.00000
3.00000 0.00000 0.00000
3.00000 1.00000 1.57080
3.00000 2.00000 1.57080
3.00000 3.00000 1.57080
3.00000 4.00000 1.57080
3.00000 3.00000 -1.57080
3.00000 2.00000 -1.57080
3.00000 1.00000 -1.57080
3.00000 -0.00000 -1.57080
3.00000 1.00000 1.57080
3.00000 2.00000 1.57080
3.00000 3.00000 1.57080
3.00000 4.00000 1.57080
4.00000 4.00000 0.00000
5.00000 4.00000 0.00000
6.00000 4.00000 0.00000
7.00000 4.00000 0.00000
7.00000 3.00000 -1.57080
7.00000 2.00000 -1.57080
7.00000 1.00000 -1.57080
7.00000 -0.00000 -1.57080
7.00000 1.00000 1.57080
7.00000 2.00000 1.57080
7.00000 3.00000 1.57080
7.00000 4.00000 1.57080
6.00000 4.00000 3.14159
5.00000 4.00000 3.14159
4.00000 4.00000 3.14159
3.00000 4.00000 3.14159
3.00000 5.00000 1.57080
3.00000 6.00000 1.57080
3.00000 7.00000 1.57080
3.00000 8.00000 1.57080
2.00000 8.00000 3.14159
1.00000 8.00000 3.14159
0.00000 8.00000 3.14159
-1.00000 8.00000 3.14159
-1.00000 7.00000 -1.57080
-1.00000 6.00000 -1.57080
-1.00000 5.00000 -1.57080
-1.00000 4.00000 -1.57080
-1.00000 3.00000 -1.57080
-1.00000 2.00000 -1.57080
-1.00000 1.00000 -1.57080
-1.00000 -0.00000 -1.57080
-1.00000 1.00000 1.57080
-1.00000 2.00000 1.57080
-1.00000 3.00000 1.57080
-1.00000 4.00000 1.57080
0.00000 4.00000 0.00000
1.00000 4.00000 0.00000
2.00000 4.00000 0.00000
3.00000 4.00000 0.00000
3.00000 3.00000 -1.57080
3.00000 2.00000 -1.57080
3.00000 1.00000 -1.57080
3.00000 -0.00000 -1.57080
2.00000 -0.00000 3.14159
1.00000 -0.00000 3.14159
0.00000 -0.00000 3.14159
-1.00000 -0.00000 3.14159
-1.00000 1.00000 1.57080
-1.00000 2.00000 1.57080
-1.00000 3.00000 1.57080
-1.00000 4.00000 1.57080
-1.00000 3.00000 -1.57080
-1.00000 2.00000 -1.57080
-1.00000 1.00000 -1.57080
-1.00000 -0.00000 -1.57080
-2.00000 -0.00000 3.14159
-3.00000 -0.00000 3.14159
-4.00000 -0.00000 3.14159
-5.00000 -0.00000 3.14159
-5.00000 -1.00000 -1.57080
-5.00000 -2.00000 -1.57080
-5.00000 -3.00000 -1.57080
-5.00000 -4.00000 -1.57080
-6.00000 -4.00000 3.14159
-7.00000 -4.00000 3.14159
-8.00000 -4.00000 3.14159
-9.00000 -4.00000 3.14159
-9.00000 -5.00000 -1.57080
-9.00000 -6.00000 -1.57080
-9.00000 -7.00000 -1.57080
-9.00000 -8.00000 -1.57080
-8.00000 -8.00000 0.00000
-7.00000 -8.00000 0.00000
-6.00000 -8.00000 0.00000
-5.00000 -8.00000 0.00000
-5.00000 -7.00000 1.57080
